iter	Passed	Remaining
0	163	163482
1	166	83053
2	168	56142
3	171	42665
4	174	34713
5	177	29396
6	180	25637
7	183	22771
8	186	20518
9	188	18705
10	191	17246
11	194	16012
12	197	14966
13	200	14089
14	203	13330
15	205	12626
16	207	12009
17	210	11458
18	212	10966
19	214	10528
20	217	10135
21	219	9769
22	221	9414
23	224	9116
24	226	8838
25	228	8558
26	230	8298
27	232	8071
28	234	7864
29	236	7651
30	238	7457
31	239	7247
32	241	7072
33	242	6888
34	243	6725
35	245	6575
36	246	6426
37	248	6299
38	250	6173
39	252	6048
40	253	5935
41	254	5815
42	255	5692
43	256	5583
44	259	5496
45	260	5411
46	262	5330
47	264	5252
48	266	5174
49	267	5087
50	269	5010
51	270	4937
52	272	4861
53	273	4788
54	274	4718
55	275	4651
56	277	4585
57	277	4514
58	279	4451
59	280	4390
60	281	4330
61	282	4270
62	283	4214
63	284	4159
64	285	4106
65	286	4054
66	287	4004
67	288	3955
68	289	3906
69	290	3858
70	291	3811
71	292	3765
72	292	3719
73	293	3676
74	294	3635
75	295	3597
76	297	3560
77	298	3525
78	299	3485
79	299	3447
80	300	3408
81	301	3375
82	302	3338
83	303	3305
84	304	3273
85	305	3243
86	306	3212
87	307	3182
88	308	3153
89	308	3123
90	309	3093
91	310	3066
92	311	3038
93	312	3012
94	313	2986
95	314	2960
96	315	2935
97	316	2909
98	317	2886
99	317	2861
100	318	2837
101	319	2815
102	320	2793
103	321	2771
104	322	2750
105	323	2730
106	324	2709
107	325	2688
108	326	2668
109	327	2647
110	328	2627
111	328	2606
112	329	2587
113	330	2569
114	331	2552
115	332	2534
116	333	2516
117	334	2499
118	335	2483
119	336	2465
120	337	2450
121	338	2433
122	339	2419
123	340	2404
124	340	2386
125	342	2372
126	342	2356
127	343	2342
128	344	2328
129	345	2312
130	346	2298
131	347	2282
132	347	2267
133	348	2254
134	349	2240
135	350	2228
136	351	2215
137	352	2203
138	353	2190
139	354	2176
140	355	2165
141	356	2151
142	357	2140
143	358	2129
144	359	2119
145	360	2109
146	361	2098
147	362	2087
148	363	2076
149	364	2065
150	365	2055
151	366	2045
152	367	2034
153	368	2022
154	368	2010
155	369	2001
156	370	1990
157	371	1980
158	372	1970
159	373	1960
160	374	1949
161	374	1939
162	375	1930
163	376	1921
164	377	1912
165	378	1903
166	379	1894
167	380	1885
168	381	1876
169	382	1868
170	383	1859
171	384	1851
172	385	1844
173	386	1836
174	387	1828
175	388	1820
176	389	1812
177	390	1804
178	391	1797
179	393	1790
180	394	1783
181	395	1776
182	396	1769
183	397	1763
184	398	1756
185	399	1748
186	400	1741
187	401	1735
188	402	1728
189	403	1721
190	405	1715
191	406	1709
192	407	1702
193	408	1695
194	408	1688
195	409	1681
196	410	1674
197	411	1668
198	412	1661
199	413	1654
200	414	1648
201	415	1641
202	416	1635
203	417	1628
204	418	1621
205	419	1615
206	420	1609
207	421	1603
208	422	1597
209	423	1592
210	423	1585
211	424	1578
212	425	1572
213	426	1566
214	427	1560
215	428	1554
216	429	1548
217	430	1543
218	431	1537
219	432	1532
220	433	1527
221	434	1521
222	435	1516
223	436	1511
224	437	1505
225	438	1500
226	439	1495
227	440	1490
228	441	1484
229	442	1479
230	443	1474
231	443	1469
232	444	1464
233	446	1460
234	447	1455
235	448	1450
236	449	1445
237	450	1440
238	451	1436
239	452	1431
240	453	1426
241	454	1422
242	455	1417
243	456	1413
244	457	1409
245	458	1405
246	459	1401
247	460	1396
248	461	1392
249	462	1387
250	463	1381
251	464	1377
252	465	1373
253	466	1369
254	467	1365
255	468	1361
256	469	1356
257	470	1352
258	471	1348
259	472	1344
260	473	1340
261	474	1336
262	475	1331
263	476	1327
264	477	1323
265	478	1319
266	479	1315
267	480	1311
268	481	1307
269	482	1303
270	483	1300
271	484	1296
272	485	1293
273	486	1289
274	487	1285
275	488	1282
276	489	1278
277	490	1274
278	491	1271
279	493	1267
280	494	1264
281	495	1260
282	496	1257
283	497	1253
284	498	1250
285	499	1246
286	500	1243
287	501	1240
288	502	1236
289	503	1233
290	504	1230
291	505	1226
292	507	1223
293	508	1220
294	509	1217
295	510	1213
296	511	1210
297	512	1207
298	513	1204
299	514	1201
300	516	1198
301	517	1195
302	518	1192
303	519	1189
304	520	1185
305	521	1182
306	522	1179
307	523	1175
308	523	1171
309	525	1168
310	526	1165
311	527	1162
312	528	1159
313	529	1156
314	530	1153
315	531	1150
316	532	1147
317	533	1144
318	534	1141
319	536	1139
320	537	1136
321	538	1133
322	539	1130
323	540	1127
324	541	1123
325	542	1120
326	543	1117
327	543	1114
328	544	1111
329	545	1107
330	546	1104
331	547	1101
332	548	1099
333	549	1096
334	551	1093
335	552	1090
336	553	1088
337	553	1084
338	555	1082
339	556	1080
340	557	1077
341	558	1074
342	559	1071
343	560	1068
344	561	1066
345	562	1063
346	563	1060
347	564	1058
348	565	1055
349	566	1052
350	567	1049
351	568	1047
352	569	1044
353	571	1042
354	571	1038
355	572	1035
356	573	1033
357	574	1030
358	575	1027
359	576	1025
360	577	1022
361	578	1020
362	579	1017
363	580	1014
364	581	1011
365	582	1008
366	583	1006
367	584	1003
368	585	1001
369	586	999
370	587	996
371	588	993
372	589	990
373	589	987
374	591	985
375	592	982
376	592	979
377	594	977
378	595	975
379	596	972
380	596	969
381	597	967
382	598	963
383	599	961
384	600	958
385	601	956
386	602	954
387	603	951
388	604	949
389	605	946
390	606	944
391	607	941
392	607	939
393	609	936
394	610	935
395	611	932
396	611	929
397	612	927
398	613	924
399	614	922
400	615	919
401	616	917
402	617	914
403	618	912
404	619	910
405	620	907
406	621	905
407	622	902
408	623	900
409	624	898
