iter	Passed	Remaining
0	156	156754
1	158	79040
2	159	53132
3	161	40189
4	162	32423
5	164	27294
6	166	23643
7	168	20928
8	170	18766
9	171	17009
10	173	15605
11	175	14470
12	177	13503
13	179	12674
14	181	11948
15	182	11241
16	184	10657
17	185	10145
18	187	9682
19	189	9302
20	191	8924
21	192	8546
22	193	8239
23	194	7923
24	195	7633
25	196	7366
26	197	7117
27	198	6887
28	200	6699
29	201	6500
30	202	6319
31	204	6174
32	205	6025
33	206	5866
34	207	5720
35	208	5579
36	209	5450
37	210	5323
38	211	5209
39	212	5103
40	213	4996
41	214	4898
42	215	4799
43	216	4702
44	217	4616
45	218	4536
46	219	4457
47	220	4379
48	221	4303
49	222	4225
50	223	4152
51	223	4081
52	224	4013
53	225	3947
54	225	3882
55	226	3821
56	227	3762
57	228	3705
58	228	3649
59	229	3597
60	230	3547
61	231	3496
62	231	3449
63	232	3401
64	233	3355
65	233	3309
66	234	3264
67	234	3218
68	235	3177
69	236	3136
70	236	3097
71	237	3059
72	237	3021
73	238	2985
74	239	2950
75	239	2915
76	240	2882
77	241	2849
78	241	2818
79	242	2787
80	242	2756
81	243	2725
82	244	2697
83	244	2668
84	245	2641
85	246	2615
86	246	2587
87	247	2563
88	248	2539
89	248	2515
90	249	2492
91	250	2469
92	250	2445
93	251	2423
94	252	2401
95	252	2379
96	253	2358
97	253	2337
98	254	2317
99	255	2298
100	255	2278
101	256	2256
102	256	2237
103	257	2219
104	258	2200
105	258	2182
106	259	2165
107	260	2149
108	260	2133
109	261	2116
110	262	2099
111	262	2083
112	263	2067
113	264	2052
114	264	2036
115	265	2021
116	265	2006
117	266	1991
118	267	1976
119	267	1962
120	268	1948
121	268	1934
122	269	1918
123	269	1905
124	270	1892
125	270	1879
126	271	1866
127	271	1852
128	272	1840
129	273	1828
130	273	1816
131	274	1805
132	275	1793
133	275	1782
134	276	1772
135	277	1761
136	277	1750
137	278	1738
138	279	1728
139	279	1718
140	280	1707
141	280	1697
142	281	1687
143	282	1677
144	282	1667
145	283	1657
146	284	1648
147	284	1638
148	285	1629
149	285	1620
150	286	1611
151	287	1602
152	287	1593
153	288	1585
154	289	1576
155	289	1568
156	290	1560
157	291	1552
158	291	1543
159	292	1535
160	293	1527
161	293	1519
162	294	1512
163	295	1504
164	295	1496
165	296	1488
166	296	1481
167	297	1473
168	298	1466
169	298	1459
170	299	1452
171	300	1444
172	300	1437
173	301	1430
174	302	1423
175	302	1416
176	303	1410
177	304	1405
178	305	1400
179	306	1394
180	306	1387
181	307	1381
182	308	1375
183	308	1369
184	309	1363
185	310	1357
186	310	1351
187	311	1346
188	312	1340
189	313	1335
190	313	1329
191	314	1323
192	315	1317
193	315	1312
194	316	1306
195	317	1301
196	318	1296
197	318	1291
198	319	1286
199	320	1281
200	321	1276
201	321	1271
202	322	1265
203	323	1260
204	323	1255
205	324	1250
206	325	1245
207	325	1240
208	326	1236
209	327	1231
210	328	1226
211	328	1221
212	329	1216
213	329	1211
214	330	1207
215	331	1202
216	332	1199
217	333	1195
218	333	1190
219	334	1185
220	335	1181
221	335	1176
222	336	1172
223	337	1168
224	337	1163
225	338	1159
226	339	1155
227	339	1150
228	340	1146
229	341	1142
230	341	1138
231	342	1134
232	343	1130
233	344	1126
234	344	1122
235	345	1118
236	346	1114
237	346	1110
238	347	1106
239	348	1102
240	348	1098
241	349	1094
242	350	1090
243	350	1087
244	351	1083
245	352	1079
246	352	1075
247	353	1072
248	354	1068
249	354	1064
250	355	1061
251	356	1057
252	356	1053
253	357	1050
254	358	1047
255	359	1044
256	359	1040
257	360	1037
258	361	1033
259	362	1031
260	363	1028
261	363	1024
262	364	1021
263	365	1018
264	365	1014
265	366	1011
266	367	1008
267	367	1005
268	368	1001
269	369	998
270	369	994
271	370	991
272	371	988
273	371	984
274	372	981
275	372	978
276	373	974
277	374	971
278	374	968
279	375	965
280	376	963
281	377	959
282	377	956
283	378	953
284	378	950
285	379	947
286	380	944
287	380	941
288	381	938
289	382	935
290	382	932
291	383	930
292	384	927
293	384	924
294	385	921
295	386	918
296	386	915
297	387	912
298	387	909
299	388	906
300	389	903
301	389	901
302	390	898
303	391	895
304	391	892
305	392	889
306	393	887
307	393	884
308	394	881
309	394	878
310	395	875
311	395	873
312	396	870
313	397	867
314	397	865
315	398	862
316	399	860
317	399	857
318	400	854
319	400	851
320	401	849
321	402	846
322	402	844
323	403	841
324	403	838
325	404	836
326	405	834
327	406	832
328	406	829
329	407	827
330	408	824
331	408	822
332	409	820
333	410	817
334	410	815
335	411	812
336	411	810
337	412	808
338	413	805
339	413	803
340	414	800
341	415	798
342	415	796
343	416	793
344	416	791
345	417	789
346	418	786
347	418	784
348	419	782
349	420	780
350	420	778
351	421	775
352	422	773
353	422	771
354	423	769
355	423	766
356	424	764
357	425	762
358	425	759
359	426	757
360	426	755
361	427	753
362	428	751
363	428	748
364	429	746
365	429	744
366	430	742
367	431	740
368	431	738
369	432	736
370	432	733
371	433	732
372	434	730
373	435	728
374	435	726
375	436	724
376	437	722
377	437	720
378	438	718
379	438	716
380	439	713
381	440	711
382	440	709
383	441	707
384	441	705
385	442	704
386	443	702
387	443	700
388	444	698
389	445	696
390	445	694
391	446	692
392	446	690
393	447	688
394	448	686
395	449	684
396	449	682
397	450	681
398	451	679
399	451	677
400	452	675
401	453	674
402	453	672
403	454	670
404	455	668
405	455	667
406	456	665
407	457	663
408	457	661
409	458	659
410	459	658
411	459	656
412	460	654
413	461	652
414	461	650
415	462	649
416	463	648
417	464	646
418	464	644
419	465	642
420	466	641
421	466	639
422	467	637
423	468	635
424	468	634
425	469	632
426	469	630
427	470	628
428	471	627
429	471	625
430	472	623
431	473	622
432	473	620
433	474	619
434	475	617
435	475	615
436	476	613
437	477	612
438	477	610
439	478	608
440	479	607
441	479	605
442	480	603
443	480	602
444	481	600
445	482	598
446	482	597
447	483	595
448	484	594
449	484	592
450	485	590
451	485	589
452	486	587
453	487	585
454	487	584
455	488	582
456	489	581
457	489	579
458	490	578
459	491	576
460	491	574
461	492	573
462	492	571
463	493	570
464	494	568
465	494	566
466	495	565
467	496	563
468	496	562
469	497	560
470	497	559
471	498	557
472	499	556
473	499	554
474	500	552
475	500	551
476	501	549
477	502	548
478	502	546
479	503	545
480	503	543
481	504	542
482	505	540
483	505	539
484	506	537
485	507	536
486	507	534
487	508	533
488	508	531
489	509	530
490	509	528
491	510	527
492	511	525
493	511	524
494	512	522
495	512	521
496	513	519
497	514	518
498	514	516
499	515	515
500	515	513
501	516	512
502	517	510
503	517	509
504	518	508
505	518	506
506	519	505
507	520	503
508	520	502
509	521	500
510	521	499
511	522	498
512	523	496
513	523	495
514	524	493
515	525	492
516	525	491
517	526	489
518	526	488
519	527	486
520	527	485
521	528	483
522	529	482
523	529	481
524	530	479
525	530	478
526	531	477
527	532	475
528	533	474
529	533	473
530	534	471
531	535	470
532	535	469
533	536	468
534	536	466
535	537	465
536	538	464
537	538	462
538	539	461
539	540	460
540	540	458
541	541	457
542	541	456
543	542	454
544	543	453
545	543	452
546	544	450
547	544	449
548	545	448
549	546	446
550	546	445
551	547	444
552	548	443
553	548	441
554	549	440
555	550	439
556	550	438
557	551	436
558	552	435
559	552	434
560	553	432
561	553	431
562	554	430
563	555	429
564	555	427
565	556	426
566	556	425
567	557	424
568	558	422
569	558	421
570	559	420
571	559	418
572	560	417
573	561	416
574	562	415
575	563	414
576	563	413
577	564	412
578	565	411
579	565	409
580	566	408
581	567	407
582	567	406
583	568	405
584	569	403
585	569	402
586	570	401
587	571	400
588	571	399
589	572	397
590	573	396
591	573	395
592	574	394
593	574	392
594	575	391
595	576	390
596	576	389
597	577	388
598	578	387
599	578	385
600	579	384
601	579	383
602	580	382
603	581	381
604	581	379
605	582	378
606	583	377
607	583	376
608	584	375
609	584	373
610	585	372
611	586	371
612	586	370
613	587	369
614	588	368
615	588	366
616	589	365
617	589	364
618	590	363
619	591	362
620	591	361
621	592	360
622	593	358
623	593	357
624	594	356
625	594	355
626	595	354
627	595	352
628	596	351
629	597	350
630	597	349
631	598	348
632	598	347
633	599	346
634	600	344
635	600	343
636	601	342
637	601	341
638	602	340
639	603	339
640	603	338
641	604	336
642	605	335
643	605	334
644	606	333
645	606	332
646	607	331
647	608	330
648	608	329
649	609	328
650	609	326
651	610	325
652	610	324
653	611	323
654	612	322
655	612	321
656	613	320
657	614	319
658	614	318
659	615	317
660	616	315
661	616	314
662	617	313
663	617	312
664	618	311
665	619	310
666	619	309
667	620	308
668	621	307
669	621	306
670	622	305
671	622	303
672	623	302
673	624	301
674	624	300
675	625	299
676	625	298
677	626	297
678	627	296
679	627	295
680	628	294
681	629	293
682	629	292
683	630	291
684	630	290
685	631	289
686	632	288
687	632	286
688	633	285
689	634	284
690	634	283
691	635	282
692	635	281
693	636	280
694	637	279
695	637	278
696	638	277
697	638	276
698	639	275
699	639	274
700	640	273
701	641	272
702	641	271
703	642	270
704	642	269
705	643	267
706	643	266
707	644	265
708	645	264
709	645	263
710	646	262
711	646	261
712	647	260
713	648	259
714	649	258
715	649	257
716	650	256
717	650	255
718	651	254
719	652	253
720	652	252
721	653	251
722	654	250
723	654	249
724	655	248
725	655	247
726	656	246
727	657	245
728	657	244
729	658	243
730	659	242
731	659	241
732	660	240
733	660	239
734	661	238
735	662	237
736	662	236
737	663	235
738	664	234
739	664	233
740	665	232
741	665	231
742	666	230
743	667	229
744	667	228
745	668	227
746	669	226
747	669	225
748	670	224
